roi_folder,imaging_row,display_construct,display_fluorTag,display_fluorOrganelle,display_organelle,display_fluor,mount_orientation,birthday,age_tiff,n_tiffs,n_tiffs_cama,n_tiffs_camb,n_tiffs_cam2,n_tiffs_unknown_cam,mom_transgene,dad_transgene,injected_plasmid,injected_rna,linkage_class,construct_source,tg_display,display_constructs,display_fluors,display_organelle_treatment_aware,display_fluors_treatment_aware
20250123_Korra_Foundation/20250123_msg_histone,manual_20,tg(pdqm-5)301; tg(pdqm-133)324,tdmSG-2xLynk(N); tdmScarlet3-H2B(C),tdmSG-membrane; tdmScarlet3-histone,membrane; histone,sg; scarlet3,,,,605,234,21,170,180,pdqm-5(301),pdqm-133(324),,,direct_by_clue_map,manual,pdqm-5(301); pdqm-133(324),tg(pdqm-5)301; tg(pdqm-133)324,sg; scarlet3,membrane; histone,sg; scarlet3
20250123_Korra_Foundation/20250124_skittles/fish1_phic/roi1,manual_1,tg(pdqm-34)309,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2-cytosol; mCitrine-cytosol; mKOK-cytosol; mKate2-cytosol; mTFP1-cytosol,cytosol,electra2; citrine; kok; kate2; tfp1,,,,15,9,6,0,0,pdqm-34(309),pdqm-34(309),,,direct_by_clue_map,manual,pdqm-34(309),tg(pdqm-34)309,electra2; citrine; kok; kate2; tfp1,cytosol,electra2; citrine; kok; kate2; tfp1
20250123_Korra_Foundation/20250124_skittles/fish1_phic/roi2,manual_1,tg(pdqm-34)309,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2-cytosol; mCitrine-cytosol; mKOK-cytosol; mKate2-cytosol; mTFP1-cytosol,cytosol,electra2; citrine; kok; kate2; tfp1,,,,15,9,6,0,0,pdqm-34(309),pdqm-34(309),,,direct_by_clue_map,manual,pdqm-34(309),tg(pdqm-34)309,electra2; citrine; kok; kate2; tfp1,cytosol,electra2; citrine; kok; kate2; tfp1
20250123_Korra_Foundation/20250124_skittles/fish1_phic/roi3,manual_1,tg(pdqm-34)309,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2-cytosol; mCitrine-cytosol; mKOK-cytosol; mKate2-cytosol; mTFP1-cytosol,cytosol,electra2; citrine; kok; kate2; tfp1,,,,15,9,6,0,0,pdqm-34(309),pdqm-34(309),,,direct_by_clue_map,manual,pdqm-34(309),tg(pdqm-34)309,electra2; citrine; kok; kate2; tfp1,cytosol,electra2; citrine; kok; kate2; tfp1
20250123_Korra_Foundation/20250124_skittles/fish2_phic+sol2/roi1,manual_1,tg(pdqm-34)309,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2-cytosol; mCitrine-cytosol; mKOK-cytosol; mKate2-cytosol; mTFP1-cytosol,cytosol,electra2; citrine; kok; kate2; tfp1,,,,15,9,6,0,0,pdqm-34(309),pdqm-34(309),,,direct_by_clue_map,manual,pdqm-34(309),tg(pdqm-34)309,electra2; citrine; kok; kate2; tfp1,cytosol,electra2; citrine; kok; kate2; tfp1
20250123_Korra_Foundation/20250124_skittles/fish2_phic+sol2/roi2,manual_1,tg(pdqm-34)309,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2-cytosol; mCitrine-cytosol; mKOK-cytosol; mKate2-cytosol; mTFP1-cytosol,cytosol,electra2; citrine; kok; kate2; tfp1,,,,15,9,6,0,0,pdqm-34(309),pdqm-34(309),,,direct_by_clue_map,manual,pdqm-34(309),tg(pdqm-34)309,electra2; citrine; kok; kate2; tfp1,cytosol,electra2; citrine; kok; kate2; tfp1
20250123_Korra_Foundation/20250124_skittles/fish2_phic+sol2/roi3,manual_1,tg(pdqm-34)309,Electra2; mCitrine; mKOK; mKate2; mTFP1,Electra2-cytosol; mCitrine-cytosol; mKOK-cytosol; mKate2-cytosol; mTFP1-cytosol,cytosol,electra2; citrine; kok; kate2; tfp1,,,,15,9,6,0,0,pdqm-34(309),pdqm-34(309),,,direct_by_clue_map,manual,pdqm-34(309),tg(pdqm-34)309,electra2; citrine; kok; kate2; tfp1,cytosol,electra2; citrine; kok; kate2; tfp1
Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi1,direct_162,rna(mgco-4) > tg(pswin-1)is01,rna(mStayGold-sec61b(N)) > halo-2xLynk(N),rna(mStayGold-ER) > halo-membrane,ER; membrane,staygold; halo,,7/21/25,,60,59,1,0,0,pswin-1(is01),pswin-1(is01),,mgco-4,direct,direct,pswin-1(is01),rna(mgco-4) > tg(pswin-1)is01,staygold; halo,rna(ER) > membrane,rna(staygold) > halo
Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi2,direct_162,rna(mgco-4) > tg(pswin-1)is01,rna(mStayGold-sec61b(N)) > halo-2xLynk(N),rna(mStayGold-ER) > halo-membrane,ER; membrane,staygold; halo,,7/21/25,,109,106,3,0,0,pswin-1(is01),pswin-1(is01),,mgco-4,direct,direct,pswin-1(is01),rna(mgco-4) > tg(pswin-1)is01,staygold; halo,rna(ER) > membrane,rna(staygold) > halo
Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi3,direct_162,rna(mgco-4) > tg(pswin-1)is01,rna(mStayGold-sec61b(N)) > halo-2xLynk(N),rna(mStayGold-ER) > halo-membrane,ER; membrane,staygold; halo,,7/21/25,,91,90,1,0,0,pswin-1(is01),pswin-1(is01),,mgco-4,direct,direct,pswin-1(is01),rna(mgco-4) > tg(pswin-1)is01,staygold; halo,rna(ER) > membrane,rna(staygold) > halo
Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi4,direct_162,rna(mgco-4) > tg(pswin-1)is01,rna(mStayGold-sec61b(N)) > halo-2xLynk(N),rna(mStayGold-ER) > halo-membrane,ER; membrane,staygold; halo,,7/21/25,,140,136,4,0,0,pswin-1(is01),pswin-1(is01),,mgco-4,direct,direct,pswin-1(is01),rna(mgco-4) > tg(pswin-1)is01,staygold; halo,rna(ER) > membrane,rna(staygold) > halo
Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi5,direct_162,rna(mgco-4) > tg(pswin-1)is01,rna(mStayGold-sec61b(N)) > halo-2xLynk(N),rna(mStayGold-ER) > halo-membrane,ER; membrane,staygold; halo,,7/21/25,,48,47,1,0,0,pswin-1(is01),pswin-1(is01),,mgco-4,direct,direct,pswin-1(is01),rna(mgco-4) > tg(pswin-1)is01,staygold; halo,rna(ER) > membrane,rna(staygold) > halo
Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi1,direct_162,rna(mgco-4) > tg(pswin-1)is01,rna(mStayGold-sec61b(N)) > halo-2xLynk(N),rna(mStayGold-ER) > halo-membrane,ER; membrane,staygold; halo,,7/21/25,,121,118,3,0,0,pswin-1(is01),pswin-1(is01),,mgco-4,direct,direct,pswin-1(is01),rna(mgco-4) > tg(pswin-1)is01,staygold; halo,rna(ER) > membrane,rna(staygold) > halo
Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi2,direct_162,rna(mgco-4) > tg(pswin-1)is01,rna(mStayGold-sec61b(N)) > halo-2xLynk(N),rna(mStayGold-ER) > halo-membrane,ER; membrane,staygold; halo,,7/21/25,,105,102,3,0,0,pswin-1(is01),pswin-1(is01),,mgco-4,direct,direct,pswin-1(is01),rna(mgco-4) > tg(pswin-1)is01,staygold; halo,rna(ER) > membrane,rna(staygold) > halo
Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi3,direct_162,rna(mgco-4) > tg(pswin-1)is01,rna(mStayGold-sec61b(N)) > halo-2xLynk(N),rna(mStayGold-ER) > halo-membrane,ER; membrane,staygold; halo,,7/21/25,,105,102,3,0,0,pswin-1(is01),pswin-1(is01),,mgco-4,direct,direct,pswin-1(is01),rna(mgco-4) > tg(pswin-1)is01,staygold; halo,rna(ER) > membrane,rna(staygold) > halo
Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi4,direct_162,rna(mgco-4) > tg(pswin-1)is01,rna(mStayGold-sec61b(N)) > halo-2xLynk(N),rna(mStayGold-ER) > halo-membrane,ER; membrane,staygold; halo,,7/21/25,,35,34,1,0,0,pswin-1(is01),pswin-1(is01),,mgco-4,direct,direct,pswin-1(is01),rna(mgco-4) > tg(pswin-1)is01,staygold; halo,rna(ER) > membrane,rna(staygold) > halo
